	term	tag	value	pstv	ngtv	neut	dunno	pstvNgtvDisagreementRatio	Female	Male	F - M
28941	полицемерить	NGTV	-1.0	0.077	0.731	0.077	0.115	0.0	0.394	0.721	-0.327
28942	полиция	NEUT	0.45	0.393	0.145	0.411	0.051	0.07	0.496	0.61	-0.114
28943	полиэстер	NEUT	0.0	0.069	0.103	0.725	0.103	0.0	0.409	0.715	-0.306
28944	полиэтилен	NEUT	0.0	0.096	0.038	0.693	0.173	0.0	0.488	0.693	-0.205
28945	полиэтиленовый	NEUT	0.01	0.19	0.048	0.738	0.024	0.0	0.565	0.581	-0.016
28946	полк	NEUT	0.0	0.119	0.071	0.667	0.143	0.0	0.542	0.741	-0.199
28947	полковник	PSTV	0.58	0.475	0.042	0.375	0.108	0.0	0.449	0.723	-0.274
28948	полковница	NEUT	0.2	0.175	0.097	0.398	0.33	0.0	0.582	0.529	0.053
28949	полковничий	NEUT	0.09	0.168	0.079	0.525	0.228	0.0	0.477	0.702	-0.225
28950	полководец	NEUT	0.33	0.328	0.06	0.526	0.086	0.0	0.493	0.646	-0.153
28951	полководческий	NEUT	0.21	0.235	0.059	0.53	0.176	0.0	0.369	0.608	-0.239
28952	полковой	NEUT	0.16	0.194	0.065	0.491	0.25	0.0	0.419	0.623	-0.204
28953	полнейший	NEUT	0.15	0.195	0.15	0.496	0.159	0.06	0.476	0.661	-0.185
28954	полненький	NEUT	0.36	0.317	0.167	0.416	0.1	0.12	0.543	0.586	-0.043
28955	полнеть	NGTV	-0.54	0.136	0.441	0.372	0.051	0.04	0.581	0.591	-0.01
28956	полнить	NGTV	-0.49	0.214	0.366	0.259	0.161	0.28	0.385	0.585	-0.2
28957	полниться	NEUT	0.34	0.238	0.109	0.356	0.297	0.05	0.421	0.666	-0.245
28958	полноватый	NGTV	-0.41	0.125	0.357	0.447	0.071	0.02	0.457	0.675	-0.218
28959	полновесный	NEUT	0.44	0.356	0.048	0.423	0.173	0.0	0.4	0.63	-0.23
28960	полновластие	NEUT	0.24	0.232	0.223	0.402	0.143	0.28	0.492	0.722	-0.23
28961	полновластный	NEUT	0.48	0.39	0.11	0.4	0.1	0.02	0.531	0.69	-0.159
28962	полноводный	NEUT	0.3	0.257	0.059	0.446	0.238	0.0	0.492	0.639	-0.147
28963	полногрудый	NEUT	0.36	0.26	0.11	0.38	0.25	0.03	0.495	0.645	-0.15
28964	полнозвучный	PSTV	0.6	0.452	0.058	0.336	0.154	0.0	0.432	0.529	-0.097
28965	полнолуние	NEUT	0.1	0.211	0.064	0.633	0.092	0.0	0.725	0.575	0.15
28966	полнометражный	NEUT	0.43	0.368	0.035	0.457	0.14	0.0	0.448	0.551	-0.103
28967	полномочие	NEUT	0.25	0.25	0.1	0.5	0.15	0.0	0.453	0.707	-0.254
28968	полномочный	NEUT	0.33	0.303	0.046	0.495	0.156	0.0	0.343	0.72	-0.377
28969	полноправие	PSTV	0.62	0.457	0.095	0.324	0.124	0.0	0.507	0.653	-0.146
28970	полноправный	PSTV	0.57	0.465	0.04	0.376	0.119	0.0	0.413	0.671	-0.258
28971	полностью	NEUT	0.37	0.353	0.034	0.51	0.103	0.0	0.535	0.605	-0.07
28972	полнота	NEUT	-0.27	0.134	0.261	0.487	0.118	0.02	0.536	0.689	-0.153
28973	полнотелый	NEUT	0.06	0.144	0.106	0.481	0.269	0.0	0.454	0.641	-0.187
28974	полноценность	PSTV	0.94	0.69	0.069	0.207	0.034	0.0	0.509	0.685	-0.176
28975	полноценный	PSTV	0.96	0.696	0.043	0.196	0.065	0.0	0.505	0.663	-0.158
28976	полночный	NEUT	0.0	0.089	0.022	0.733	0.156	0.0	0.503	0.618	-0.115
28977	полночь	NEUT	0.1	0.218	0.055	0.654	0.073	0.0	0.558	0.562	-0.004
28978	полнощёкий	NEUT	0.14	0.194	0.12	0.529	0.157	0.0	0.462	0.734	-0.272
28979	полный	NEUT	0.0	0.136	0.034	0.593	0.237	0.0	0.509	0.694	-0.185
28980	половик	NEUT	0.0	0.132	0.053	0.657	0.158	0.0	0.553	0.634	-0.081
28981	половина	NEUT	0.0	0.145	0.032	0.742	0.081	0.0	0.479	0.619	-0.14
28982	половинка	NEUT	0.34	0.313	0.096	0.495	0.096	0.0	0.548	0.678	-0.13
28983	половинный	NEUT	0.0	0.108	0.085	0.692	0.115	0.0	0.51	0.667	-0.157
28984	половинчатость	NEUT	0.0	0.118	0.059	0.588	0.235	0.0	0.514	0.692	-0.178
28985	половинчатый	NEUT	0.0	0.106	0.133	0.575	0.186	0.0	0.572	0.667	-0.095
28986	половица	NEUT	0.06	0.158	0.119	0.525	0.198	0.0	0.534	0.709	-0.175
28987	половичок	NEUT	0.22	0.233	0.039	0.505	0.223	0.0	0.626	0.604	0.022
28988	половник	NEUT	0.03	0.176	0.059	0.647	0.118	0.0	0.553	0.636	-0.083
28989	половодье	NEUT	-0.25	0.117	0.226	0.445	0.212	0.01	0.653	0.668	-0.015
28990	половозрелый	NEUT	0.02	0.172	0.034	0.656	0.138	0.0	0.469	0.681	-0.212
28991	пологий	NEUT	0.0	0.104	0.096	0.608	0.192	0.0	0.498	0.658	-0.16
28992	положение	NEUT	0.09	0.221	0.059	0.676	0.044	0.0	0.458	0.642	-0.184
28993	положительность	PSTV	1.0	0.8	0.033	0.1	0.067	0.0	0.453	0.733	-0.28
28994	положительный	PSTV	1.0	0.827	0.0	0.077	0.096	0.0	0.365	0.702	-0.337
28995	положить	NEUT	0.0	0.136	0.061	0.712	0.091	0.0	0.473	0.576	-0.103
28996	положиться	PSTV	0.8	0.602	0.033	0.267	0.098	0.0	0.492	0.639	-0.147
28997	полок	NEUT	-0.24	0.167	0.167	0.277	0.389	0.32	0.42	0.54	-0.12
28998	поломать	NGTV	-1.0	0.135	0.654	0.153	0.058	0.0	0.429	0.617	-0.188
28999	поломаться	NGTV	-0.99	0.088	0.625	0.162	0.125	0.0	0.44	0.618	-0.178
29000	поломка	NGTV	-1.0	0.041	0.776	0.163	0.02	0.0	0.478	0.676	-0.198
29001	поломойка	NGTV	-0.5	0.089	0.386	0.386	0.139	0.0	0.453	0.623	-0.17
29002	полоний	NEUT	0.0	0.111	0.056	0.527	0.306	0.0	0.552	0.698	-0.146
29003	полопать	NEUT	0.21	0.23	0.14	0.51	0.12	0.03	0.465	0.679	-0.214
29004	полопаться	NGTV	-0.43	0.079	0.333	0.404	0.184	0.0	0.486	0.674	-0.188
29005	полоса	NEUT	0.0	0.145	0.036	0.674	0.145	0.0	0.607	0.71	-0.103
29006	полосатик	NEUT	0.34	0.313	0.045	0.499	0.143	0.0	0.66	0.631	0.029
29007	полосатый	NEUT	0.0	0.119	0.024	0.786	0.071	0.0	0.574	0.66	-0.086
29008	полоска	NEUT	0.0	0.175	0.035	0.755	0.035	0.0	0.595	0.665	-0.07
29009	полоскание	NEUT	0.16	0.234	0.039	0.602	0.125	0.0	0.615	0.555	0.06
29010	полоскательный	NEUT	0.07	0.16	0.04	0.52	0.28	0.0	0.587	0.615	-0.028
