	term	tag	Female	Male	F - M
15909	лежать	NEUT	0.672	0.541	0.131
15911	лежбище	NEUT	0.694	0.5	0.194
15950	леопардовый	NEUT	0.692	0.564	0.128
15951	лепесток	NEUT	0.772	0.664	0.108
15952	лепет	NEUT	0.674	0.518	0.156
15961	лепёшечка	PSTV	0.667	0.499	0.168
16014	лето	PSTV	0.695	0.532	0.163
16024	летучий	NEUT	0.682	0.486	0.196
16027	лечебница	PSTV	0.663	0.495	0.168
16033	лечь	NEUT	0.685	0.545	0.14
16063	лизание	NEUT	0.655	0.56	0.095
16066	лизнуть	NEUT	0.745	0.585	0.16
16080	лилипут	NEUT	0.698	0.562	0.136
16081	лилипутка	NEUT	0.698	0.433	0.265
16082	лилия	PSTV	0.705	0.595	0.11
16128	лисичка	NEUT	0.653	0.547	0.106
16135	листик	NEUT	0.77	0.549	0.221
16141	листочек	NEUT	0.763	0.607	0.156
16142	лисёнок	PSTV	0.735	0.524	0.211
16166	лифтёрша	NEUT	0.703	0.427	0.276
16172	лихорадка	NGTV	0.68	0.564	0.116
16217	лобзик	NEUT	0.686	0.54	0.146
16218	лобик	PSTV	0.697	0.595	0.102
16226	лобызание	NGTV	0.696	0.522	0.174
16295	ломтик	NEUT	0.705	0.599	0.106
16297	лондонцы	NEUT	0.672	0.502	0.17
16316	лоскутик	NEUT	0.757	0.596	0.161
16318	лоскуток	NEUT	0.705	0.607	0.098
16325	лосёнок	PSTV	0.698	0.555	0.143
16330	лоток	NEUT	0.658	0.527	0.131
16333	лоточек	NEUT	0.744	0.582	0.162
16346	лошадёнка	PSTV	0.667	0.449	0.218
16354	лужайка	NEUT	0.697	0.535	0.162
16371	луна	NEUT	0.694	0.536	0.158
16372	луна-парк	PSTV	0.77	0.506	0.264
16373	лунатизм	NGTV	0.72	0.491	0.229
16374	лунатик	NEUT	0.673	0.56	0.113
16376	лунный	NEUT	0.682	0.515	0.167
16386	лучик	PSTV	0.719	0.62	0.099
16388	лучинка	NEUT	0.728	0.563	0.165
16399	лыжница	NEUT	0.679	0.431	0.248
16409	львица	NEUT	0.662	0.472	0.19
16410	львёнок	PSTV	0.762	0.547	0.215
16415	льдинка	NEUT	0.661	0.563	0.098
16434	любимица	PSTV	0.689	0.479	0.21
16439	любительница	PSTV	0.729	0.415	0.314
16445	любоваться	PSTV	0.687	0.593	0.094
16470	люля-кебаб	PSTV	0.662	0.486	0.176
16506	лён	NEUT	0.699	0.507	0.192
16541	мадам	PSTV	0.708	0.574	0.134
